"","Participant ID","Gender","AV/Car","Perspective","Scenario","Number of Children","Number of Adults 1","Number of Adults 2","Left First?","Selected Option","Difficulty of decision","Response time 1","Response time 2"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.1","497678802","True","True","1","0","0","1","5","True","Rechts","100","6.264526","2.424973"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.2","497678802","True","True","1","0","0","0","1","False","Rechts","100","1.556213","1.6492"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.3","497678802","True","True","1","0","1","1","3","True","Rechts","63","2.510284","4.860687"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.4","497678802","True","True","1","0","2","1","5","False","Rechts","50","1.886871","0.7037354"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.5","497678802","True","True","1","1","0","2","4","True","Rechts","83","3.931763","5.673676"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.6","497678802","True","True","1","2","0","2","0","False","Rechts","25","2.430237","3.512604"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.7","497678802","True","True","1","1","0","1","2","True","Rechts","100","0.5769043","5.008698"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.8","497678802","True","True","1","3","0","2","0","False","Rechts","86","0.661377","4.800049"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.9","39800718","False","False","1","0","0","1","5","False","Links","18","15.85345","11.17709"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.10","39800718","False","False","1","0","0","0","1","True","Rechts","75","7.257523","2.269669"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.11","39800718","False","False","1","1","0","2","4","False","Rechts","63","14.26511","10.40778"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.12","39800718","False","False","1","1","0","1","2","True","Links","100","7.426147","8.780945"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.13","39800718","False","False","1","0","1","1","3","False","Rechts","84","42.41425","2.432556"
"participant.ID.gender.av.car.perspective.scenario.numb_children.numb_adult1.numb_adult2.left_first.selected_option.difficulty_of_decision.response_time1.response_time2.14","39800718","False","False","1","3","0","2","0","True","Links","100","2.758606","1.597412"
