"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","confidence","trial","decision"
"IFH09","False","False","Observer","True","Computer (AV)","Beobachter","83","largeGroups","hitChildren"
"IFH09","False","False","Observer","True","Computer (AV)","Beobachter","53","smallGroups","hitAdults"
"BCH07","True","False","PedSmall","True","Mensch","Fußgänger","50","largeGroups","hitAdults"
"BCH07","True","False","PedSmall","True","Mensch","Fußgänger","0","smallGroups","hitAdults"
"KMR10","False","True","PedSmall","True","Computer (AV)","Fußgänger","56","largeGroups","hitAdults"
"KMR10","False","True","PedSmall","True","Computer (AV)","Fußgänger","10","smallGroups","hitChildren"
"AKR04","True","False","Passenger","True","Mensch","Mitfahrer","20","largeGroups","hitAdults"
"AKR04","True","False","Passenger","True","Mensch","Mitfahrer","40","smallGroups","hitAdults"
"UDH06","True","True","PedLarge","True","Computer (AV)","Fußgänger","15","largeGroups","hitAdults"
"UDH06","True","True","PedLarge","True","Computer (AV)","Fußgänger","0","smallGroups","hitChildren"
"BRN12","False","False","Passenger","True","Mensch","Mitfahrer","41","largeGroups","hitChildren"
"BRN12","False","False","Passenger","True","Mensch","Mitfahrer","36","smallGroups","hitChildren"
"GNS07","False","False","Passenger","True","Mensch","Mitfahrer","28","smallGroups","hitChildren"
"GNS07","False","False","Passenger","True","Mensch","Mitfahrer","63","largeGroups","hitChildren"
"DEH10","False","True","PedSmall","True","Computer (AV)","Fußgänger","77","smallGroups","hitAdults"
"DEH10","False","True","PedSmall","True","Computer (AV)","Fußgänger","40","largeGroups","hitChildren"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","32","largeGroups","hitAdults"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","92","smallGroups","hitAdults"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","44","smallGroups","hitAdults"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","58","largeGroups","hitAdults"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","14","largeGroups","hitAdults"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","37","smallGroups","hitAdults"
"CRI04","True","True","Observer","True","Computer (AV)","Fußgänger","28","smallGroups","hitChildren"
"CRI04","True","True","Observer","True","Computer (AV)","Fußgänger","11","largeGroups","hitChildren"
"EWM01","False","False","PedSmall","True","Mensch","Beobachter","100","largeGroups","hitChildren"
"EWM01","False","False","PedSmall","True","Mensch","Beobachter","93","smallGroups","hitChildren"
"DJC01","True","False","PedLarge","True","Mensch","Fußgänger","24","smallGroups","hitAdults"
"DJC01","True","False","PedLarge","True","Mensch","Fußgänger","0","largeGroups","hitAdults"
"KSG04","True","False","PedLarge","True","Mensch","Fußgänger","51","smallGroups","hitChildren"
"KSG04","True","False","PedLarge","True","Mensch","Fußgänger","50","largeGroups","hitChildren"
"EKG06","True","False","PedSmall","True","Computer (AV)","Fußgänger","75","smallGroups","hitAdults"
"EKG06","True","False","PedSmall","True","Computer (AV)","Fußgänger","46","largeGroups","hitAdults"
"ESE01","True","False","Observer","True","Mensch","Beobachter","0","smallGroups","hitAdults"
"ESE01","True","False","Observer","True","Mensch","Beobachter","0","largeGroups","hitChildren"
"KFP01","False","True","PedLarge","True","Computer (AV)","Fußgänger","10","smallGroups","hitAdults"
"KFP01","False","True","PedLarge","True","Computer (AV)","Fußgänger","7","largeGroups","hitAdults"
"UUH11","True","True","Passenger","True","Computer (AV)","Mitfahrer","72","largeGroups","hitAdults"
"UUH11","True","True","Passenger","True","Computer (AV)","Mitfahrer","65","smallGroups","hitAdults"
"VMG10","False","True","PedLarge","False","Mensch","Fußgänger","66","smallGroups","hitAdults"
"VMG10","False","True","PedLarge","False","Mensch","Fußgänger","63","largeGroups","hitAdults"
"LXB10","False","True","Passenger","True","Computer (AV)","Mitfahrer","100","largeGroups","hitChildren"
"LXB10","False","True","Passenger","True","Computer (AV)","Mitfahrer","98","smallGroups","hitChildren"
"ANB08","False","True","Passenger","True","Computer (AV)","Mitfahrer","86","smallGroups","hitAdults"
"ANB08","False","True","Passenger","True","Computer (AV)","Mitfahrer","83","largeGroups","hitAdults"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","66","smallGroups","hitChildren"
"BGN05","True","False","Passenger","True","Computer (AV)","Mitfahrer","37","largeGroups","hitChildren"
"SOG06","False","False","PedLarge","True","Mensch","Beobachter","0","largeGroups","hitAdults"
"SOG06","False","False","PedLarge","True","Mensch","Beobachter","0","smallGroups","hitAdults"
"BRM10","True","True","PedSmall","True","Computer (AV)","Beobachter","92","largeGroups","hitAdults"
"BRM10","True","True","PedSmall","True","Computer (AV)","Beobachter","62","smallGroups","hitAdults"
"UEB04","True","True","PedSmall","True","Computer (AV)","Fußgänger","100","largeGroups","hitChildren"
"UEB04","True","True","PedSmall","True","Computer (AV)","Fußgänger","76","smallGroups","hitChildren"
"YLH10","True","True","Passenger","True","Computer (AV)","Mitfahrer","32","largeGroups","hitAdults"
"YLH10","True","True","Passenger","True","Computer (AV)","Mitfahrer","77","smallGroups","hitAdults"
"SNB08","True","False","Observer","True","Computer (AV)","Mitfahrer","50","smallGroups","hitAdults"
"SNB08","True","False","Observer","True","Computer (AV)","Mitfahrer","77","largeGroups","hitAdults"
"MKW08","False","True","Observer","True","Computer (AV)","Beobachter","0","smallGroups","hitChildren"
"MKW08","False","True","Observer","True","Computer (AV)","Beobachter","3","largeGroups","hitChildren"
"SGG06","False","False","PedLarge","True","Computer (AV)","Beobachter","45","largeGroups","hitAdults"
