"participant-ID","male","av/car","perspective","scenario","numb_childrenL","numb_adultL","numb_adultR","left_first","selected_option","difficulty_of_decision","response_time1","response_time2"
"IFH09","False","False","1","0","0","1","5","True","Zweiteres","69","10.66644","3.932709"
"IFH09","False","False","1","0","0","0","1","False","Zweiteres","85","2.589386","2.135468"
"IFH09","False","False","1","0","2","1","5","True","Ersteres","83","3.680817","1.379059"
"IFH09","False","False","1","0","1","1","3","False","Ersteres","53","4.498444","2.77124"
"IFH09","False","False","1","2","0","2","0","False","Zweiteres","50","1.006226","1.719177"
"IFH09","False","False","1","1","0","2","4","False","Zweiteres","50","1.59549","2.760864"
"IFH09","False","False","1","3","0","2","0","False","Ersteres","50","1.150391","1.027771"
"IFH09","False","False","1","1","0","1","2","False","Ersteres","45","1.493713","2.359741"
"BCH07","True","False","2","0","0","1","5","False","Zweiteres","50","38.93625","4.826981"
"BCH07","True","False","2","0","0","0","1","True","Ersteres","100","4.182098","2.698578"
"BCH07","True","False","2","3","0","2","0","False","Ersteres","100","3.44809","6.761078"
"BCH07","True","False","2","0","2","1","5","True","Zweiteres","50","4.06427","1.174194"
"BCH07","True","False","2","1","0","1","2","False","Zweiteres","0","2.027374","3.8703"
"BCH07","True","False","2","1","0","2","4","False","Zweiteres","0","29.32758","9.800598"
"BCH07","True","False","2","2","0","2","0","True","Ersteres","0","9.855286","2.073975"
"BCH07","True","False","2","0","1","1","3","True","Zweiteres","0","4.781494","1.406494"
"KMR10","False","True","2","0","0","1","5","True","Ersteres","100","6.587784","6.559174"
"KMR10","False","True","2","0","0","0","1","False","Zweiteres","100","4.358307","1.718094"
"KMR10","False","True","2","0","2","1","5","True","Zweiteres","56","4.628433","7.870483"
"KMR10","False","True","2","1","0","1","2","False","Zweiteres","17","2.365601","6.201599"
"KMR10","False","True","2","2","0","2","0","False","Zweiteres","0","6.303864","3.41391"
"KMR10","False","True","2","3","0","2","0","False","Ersteres","100","1.711609","4.610443"
"KMR10","False","True","2","0","1","1","3","True","Ersteres","10","6.781342","1.182739"
"KMR10","False","True","2","1","0","2","4","True","Ersteres","99","2.00827","6.009827"
"AKR04","True","False","0","0","0","1","5","False","Zweiteres","100","9.174507","3.626274"
"AKR04","True","False","0","0","0","0","1","True","Ersteres","100","5.329208","2.40062"
"AKR04","True","False","0","2","0","2","0","False","Zweiteres","39","4.491333","7.147675"
"AKR04","True","False","0","3","0","2","0","False","Ersteres","96","3.035614","5.922516"
"AKR04","True","False","0","0","2","1","5","False","Ersteres","20","8.174561","7.653015"
"AKR04","True","False","0","1","0","1","2","True","Ersteres","79","1.727509","4.762177"
"AKR04","True","False","0","0","1","1","3","True","Zweiteres","40","6.538696","8.529419"
"AKR04","True","False","0","1","0","2","4","True","Ersteres","62","6.322083","5.584961"
"UDH06","True","True","3","0","0","1","5","False","Zweiteres","100","5.637299","3.13089"
"UDH06","True","True","3","0","0","0","1","False","Zweiteres","100","2.710815","1.533661"
"UDH06","True","True","3","0","2","1","5","True","Zweiteres","15","13.10144","2.815521"
"UDH06","True","True","3","3","0","2","0","False","Ersteres","100","4.763092","1.491882"
"UDH06","True","True","3","2","0","2","0","False","Ersteres","100","3.270874","2.526245"
"UDH06","True","True","3","0","1","1","3","True","Ersteres","0","9.357544","2.115723"
"UDH06","True","True","3","1","0","2","4","True","Ersteres","100","6.660339","2.398499"
"UDH06","True","True","3","1","0","1","2","False","Zweiteres","100","13.17102","1.874817"
"BRN12","False","False","0","0","0","1","5","False","Zweiteres","68","15.32481","10.6114"
"BRN12","False","False","0","0","0","0","1","True","Ersteres","100","3.005325","3.182632"
"BRN12","False","False","0","0","2","1","5","True","Ersteres","41","4.853882","5.020111"
"BRN12","False","False","0","0","1","1","3","True","Ersteres","36","3.076477","4.764771"
"BRN12","False","False","0","3","0","2","0","False","Ersteres","100","2.308868","2.063171"
"BRN12","False","False","0","1","0","2","4","False","Zweiteres","60","1.625397","3.892426"
"BRN12","False","False","0","2","0","2","0","True","Zweiteres","60","2.309235","4.662628"
"BRN12","False","False","0","1","0","1","2","False","Zweiteres","66","3.719666","8.198608"
"GNS07","False","False","0","0","0","1","5","True","Ersteres","77","7.649765","10.90312"
"GNS07","False","False","0","0","0","0","1","False","Zweiteres","100","9.532257","2.933136"
"GNS07","False","False","0","1","0","2","4","False","Ersteres","72","10.60696","13.81"
"GNS07","False","False","0","2","0","2","0","True","Ersteres","36","4.192627","5.339966"
