"participant-ID","male","av/Car","perspective","passedSanCheck","perceivedCar","perceivedIden","confidence","trial","decision"
"IFH09","False","False","Observer","True","Computer (AV)","Beobachter","50","mountain","hitPedestrians"
"IFH09","False","False","Observer","True","Computer (AV)","Beobachter","50","cityR","selfSacrifice"
"BCH07","True","False","PedSmall","True","Mensch","Fußgänger","100","cityR","selfSacrifice"
"BCH07","True","False","PedSmall","True","Mensch","Fußgänger","0","mountain","hitPedestrians"
"KMR10","False","True","PedSmall","True","Computer (AV)","Fußgänger","0","mountain","hitPedestrians"
"KMR10","False","True","PedSmall","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"AKR04","True","False","Passenger","True","Mensch","Mitfahrer","39","mountain","hitPedestrians"
"AKR04","True","False","Passenger","True","Mensch","Mitfahrer","96","cityR","selfSacrifice"
"UDH06","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","cityR","selfSacrifice"
"UDH06","True","True","PedLarge","True","Computer (AV)","Fußgänger","100","mountain","selfSacrifice"
"BRN12","False","False","Passenger","True","Mensch","Mitfahrer","100","cityR","selfSacrifice"
"BRN12","False","False","Passenger","True","Mensch","Mitfahrer","60","mountain","selfSacrifice"
"GNS07","False","False","Passenger","True","Mensch","Mitfahrer","36","mountain","hitPedestrians"
"GNS07","False","False","Passenger","True","Mensch","Mitfahrer","49","cityR","selfSacrifice"
"DEH10","False","True","PedSmall","True","Computer (AV)","Fußgänger","67","cityR","selfSacrifice"
"DEH10","False","True","PedSmall","True","Computer (AV)","Fußgänger","94","mountain","selfSacrifice"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","78","cityR","selfSacrifice"
"FTO07","False","False","Observer","True","Mensch","Mitfahrer","70","mountain","selfSacrifice"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","35","mountain","hitPedestrians"
"LSH01","True","False","Passenger","True","Mensch","Fußgänger","92","cityR","selfSacrifice"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","78","mountain","hitPedestrians"
"AMH11","False","False","Passenger","True","Mensch","Mitfahrer","59","cityR","selfSacrifice"
"CRI04","True","True","Observer","True","Computer (AV)","Fußgänger","61","mountain","selfSacrifice"
